Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
2,0549,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent","","Mastery --- Batalha","03/18/2019","CH",Colt,"Mastery","Batalha","","","","Yearling","Homesman's Ranch",105000
2,0550,"Brookdale Sales, Agent for Vossfeld Bloodstock","","Practical Joke --- Bayou Miss","02/10/2019","B",Colt,"Practical Joke","Bayou Miss","","","","Yearling","Oxo Equine, LLC",320000
2,0551,"Lane's End, Agent","","Honor Code --- Beat to Quarters","04/03/2019","B",Colt,"Honor Code","Beat to Quarters","","","","Yearling","Out",0
2,0552,"Royal Oak Farm (Damian & Braxton Lynch), Agent","","Honor Code --- Beautiful Bliss","05/07/2019","DB/BR",Colt,"Honor Code","Beautiful Bliss","","","","Yearling","Out",0
2,0553,"Four Star Sales, Agent","","Bel Citron","03/24/2012","B",Mare,"Lemon Drop Kid","Gaze","Accelerate","04/29/2019","pregnant","Broodmare","Out",0
2,0554,"Four Star Sales, Agent","","Violence --- Bel Citron","01/16/2019","DB/BR",Filly,"Violence","Bel Citron","","","","Yearling","R. F. Crean, Agent for Steve Foxcroft",5500
2,0555,"Bluegrass Thoroughbred Services Inc., Agent I","","Bestinthebusiness","02/23/2015","CH",Mare,"Ghostzapper","You Asked","Carpe Diem","04/11/2019","pregnant","Broodmare","B. C. Jones",100000
2,0556,"Mulholland Springs, Agent VII","","Best Present Ever","02/17/2009","DB/BR",Mare,"Unusual Heat","Centerofattention","Malibu Moon","03/13/2019","pregnant","Broodmare","Haymarket Farm LLC",35000
2,0557,"Four Star Sales, Agent","","Bev's Humor","03/31/2016","CH",Filly,"Distorted Humor","Rose to Gold","","","","Racing or Broodmare Prospect","Elevage World of Trouble Partnership",50000
2,0558,"Brookdale Sales, Agent","","B G Golden Eagle","04/11/2010","CH",Mare,"Corinthian","Stylish Accent","Good Magic","02/14/2019","pregnant","Broodmare","Out",0
2,0559,"Brookdale Sales, Agent","","Practical Joke --- B G Golden Eagle","01/22/2019","B",Filly,"Practical Joke","B G Golden Eagle","","","","Yearling","*RNA (25,000)",---
2,0560,"Glen Hill Farm","","Biorhythm","02/26/2010","B",Mare,"Malibu Moon","Mystic Rhythms","Violence","03/09/2019","pregnant","Broodmare","Out",0
2,0561,"Indian Creek, Agent","","Black Dynamite","04/17/2016","DB/BR",Filly,"More Than Ready","Heatherdoesntbluff","","","","Racing or Broodmare Prospect","Claiborne Farm Bloodstock, Agent",210000
2,0562,"Indian Creek, Agent","","Bleeding Heart","03/14/2014","DB/BR",Mare,"Broken Vow","Nicksappealinglady","Blame","04/17/2019","pregnant","Broodmare","Winchell Thoroughbreds, LLC",35000
2,0563,"Gainesway, Agent VI","","Violence --- Blueeyesintherein","03/01/2019","CH",Colt,"Violence","Blueeyesintherein","","","","Yearling","Alden Caldwell, Agent",30000
2,0564,"Hidden Brook, Agent VI","","Bluegrass Sapphire","02/10/2009","DB/BR",Mare,"Bluegrass Cat","Radiant Ring","Alternation","05/23/2019","not pregnant","Broodmare","Southern Oak Farm",4200
2,0565,"Mulholland Springs, Agent II","","Blue Venus","03/24/2010","B",Mare,"Giant's Causeway","Alpha Mama","Ghostzapper","03/08/2019","not pregnant","Broodmare","Haymarket Farm LLC",25000
2,0566,"Mulholland Springs, Agent II","","Malibu Moon --- Blue Venus","01/23/2019","B",Filly,"Malibu Moon","Blue Venus","","","","Yearling","Sonny Stokes",80000
2,0567,"Blandford Stud (Padraig Campion), Agent","","Mastery --- Brahms Cat","01/10/2019","DB/BR",Colt,"Mastery","Brahms Cat","","","","Yearling","*RNA (37,000)",---
2,0568,"Four Star Sales, Agent","","Mastery --- Bravely Andrightly","01/27/2019","DB/BR",Filly,"Mastery","Bravely Andrightly","","","","Yearling","Out",0
2,0569,"Four Star Sales, Agent","","Carpe Diem --- Brief Mark","03/21/2019","B",Filly,"Carpe Diem","Brief Mark","","","","Yearling","Out",0
2,0570,"Paramount Sales, Agent XXXII","","Bright Side Up","01/27/2013","CH",Mare,"Exchange Rate","Sharbat","Oscar Performance","04/29/2019","pregnant","Broodmare","Out",0
2,0571,"Four Star Sales, Agent","","Broadway Cat","03/20/2016","CH",Filly,"Tale of the Cat","Abigail's Gold","","","","Racing or Broodmare Prospect","Dan Preiss, Agent for Lea Farms, LLC",32000
2,0572,"James B. Keogh (Grovendale), Agent III","","Shackleford --- Brown Lace","04/16/2019","B",Colt,"Shackleford","Brown Lace","","","","Yearling","Brown Lace Partners",3500
2,0573,"Brookdale Sales, Agent for Fortune Farm","","Calabrisella","03/23/2016","CH",Filly,"Curlin","Sallyport","","","","Racing or Broodmare Prospect","Out",0
2,0574,"Clifton Farm LLC","","Tapiture --- Capital Deployment","03/14/2019","CH",Filly,"Tapiture","Capital Deployment","","","","Yearling","Out",0
2,0575,"Indian Creek, Agent","","Caragh Queen","04/23/2010","DB/BR",Mare,"Hard Spun","Above Perfection","Runhappy","04/21/2019","not pregnant","Broodmare","Sparks View Farm",8000
2,0576,"Mill Ridge Sales, Agent","","Congrats --- Catcha Rising Star","02/08/2019","B",Filly,"Congrats","Catcha Rising Star","","","","Yearling","Equine Consulting, Agent",2000
2,0577,"Brookdale Sales, Agent","","Lemon Drop Kid --- Cathy's Cornbread","03/11/2019","DB/BR",Colt,"Lemon Drop Kid","Cathy's Cornbread","","","","Yearling","Out",0
2,0578,"Four Star Sales, Agent","","Air Force Blue --- Cavanaugh Park (IRE)","03/24/2019","DB/BR",Colt,"Air Force Blue","Cavanaugh Park (IRE)","","","","Yearling","Bemart Bloodstock",10500
2,0579,"Indian Creek, Agent","","Celebrity Glitter","02/06/2015","B",Mare,"Tapit","Shop Again","","","","Broodmare Prospect","Landrum Farm, LLC",250000
2,0580,"Bill Murphy, Agent I","","Gormley --- Celtic Summer","02/16/2019","DB/BR",Filly,"Gormley","Celtic Summer","","","","Yearling","Andre Lynch, Agent",40000
2,0581,"Four Star Sales, Agent","","Chelsea Ballad","02/24/2004","B",Mare,"Street Cry (IRE)","Chelsey Dancer","Accelerate","02/15/2019","pregnant","Broodmare","Out",0
2,0582,"Cara Bloodstock (Bernard McCormack), Agent III","","Chestnut Grove","05/14/2015","DB/BR",Mare,"Street Cry (IRE)","Pinafores Pride","Collected","04/05/2019","pregnant","Broodmare","Shamrock Farm",85000
2,0583,"Four Star Sales, Agent","","Child Please","01/22/2008","B",Mare,"War Front","Preserver","Speightster","04/13/2019","pregnant","Broodmare","Michael Wood",7000
2,0584,"Lane's End, Agent","","Chipolata (FR)","04/15/2015","CH",Mare,"Muhtathir (GB)","Chicago May (FR)","","","","Racing or Broodmare Prospect","Out",0
2,0585,"Paramount Sales, Agent XXXIV","","Choi","03/23/2016","B",Mare,"Bernardini","Secret File","Uncle Mo","05/07/2019","pregnant","Broodmare","Out",0
2,0586,"Gainesway, Agent XI","","Choosy","03/24/2017","CH",Filly,"Super Saver","And Why Not","","","","Broodmare Prospect","Sallusto & Albina, Agents",25000.00
2,0587,"Paramount Sales, Agent XL","","Dialed In --- Christmas Ship","04/01/2019","DB/BR",Colt,"Dialed In","Christmas Ship","","","","Yearling","Sussex Estates",20000
2,0588,"Lane's End, Agent","","C J's Leelee","03/21/2005","GR/RO",Mare,"Mizzen Mast","Fight to Love","Bernardini","05/25/2019","pregnant","Broodmare","Out",0
2,0589,"Paramount Sales, Agent XV","","Clairvoyant Lady","03/17/2014","B",Mare,"Astrology","Chantilly Lady","","","","Broodmare Prospect","Bradley Thoroughbreds, Agent",30000
2,0590,"Summerfield (Francis and Barbara Vanlangendonck), Agent for","Parrish Hill Farm","Classic Brit","03/15/2014","B",Mare,"To Honor and Serve","Bristol Pistol","Classic Empire","04/08/2019","pregnant","Broodmare","Out",0
2,0591,"Buck Pond Farm (Douglas S. Arnold), Agent","","Star Guitar --- Class Included","02/27/2019","DB/BR",Colt,"Star Guitar","Class Included","","","","Yearling","*RNA (14,000)",---
2,0592,"Mulholland Springs, Agent III","","Classic Empire --- C'Mon Feet","05/02/2019","DB/BR",Filly,"Classic Empire","C'Mon Feet","","","","Yearling","Out",0
2,0593,"James B. Keogh (Grovendale), Agent XIII","","Connect --- Codetta","03/21/2019","CH",Colt,"Connect","Codetta","","","","Yearling","Lavina Hall",12000
2,0594,"Mulholland Springs, Agent IV","","Bernardini --- Composing","04/26/2019","B",Filly,"Bernardini","Composing","","","","Yearling","*RNA (47,000)",---
2,0595,"Glen Hill Farm","","Confidently","05/15/2016","B",Filly,"War Front","Playa Maya","","","","Racing or Broodmare Prospect","James Schenck, Agent",560000
2,0596,"Paramount Sales, Agent LII","","Conquest Babayaga","04/24/2013","DB/BR",Mare,"Uncle Mo","Undercover Justice","West Coast","04/01/2019","pregnant","Broodmare","Out",0
2,0597,"Indian Creek, Agent","","Cool Beans","04/30/2015","DB/BR",Mare,"Candy Ride (ARG)","Win McCool","","","","Racing or Broodmare Prospect","Out",0
2,0598,"Blandford Stud (Padraig Campion), Agent","","Classic Empire --- Cool Runner","03/15/2019","CH",Colt,"Classic Empire","Cool Runner","","","","Yearling","*RNA (65,000)",---
2,0599,"Buck Pond Farm (Douglas S. Arnold), Agent","","Cosmic Queen","03/30/2006","CH",Mare,"Stormy Atlantic","Well At the Top (IRE)","Cairo Prince","05/24/2019","pregnant","Broodmare","Teresa Little, Agent",15000
2,0600,"Buck Pond Farm (Douglas S. Arnold), Agent","","Practical Joke --- Cosmic Queen","04/24/2019","B",Colt,"Practical Joke","Cosmic Queen","","","","Yearling","*RNA (47,000)",---
2,0601,"Lane's End, Agent","","Cotton Lane","04/12/2017","B",Filly,"English Channel","Fair Lady","","","","Broodmare Prospect","Three Princes",3000
2,0602,"Eaton Sales, Agent","","Gormley --- Crossing the Tape","03/08/2019","B",Colt,"Gormley","Crossing the Tape","","","","Yearling","Clear Sky Stables",92000
2,0603,"Warrendale Sales, Agent for Live Oak Stud","","Cry and Catch Me","02/24/2005","DB/BR",Mare,"Street Cry (IRE)","Please Sign In","Tapit","05/17/2019","not pregnant","Broodmare","Eaton Bloodstock",300000
2,0604,"Buck Pond Farm (Douglas S. Arnold), Agent","","C U At Eau Claire","02/01/2013","CH",Mare,"Haynesfield","Sweetheart Rose","","","","Racing or Broodmare Prospect","*RNA (85,000)",---
2,0605,"Glen Hill Farm","","Culver Miss","01/25/2016","B",Filly,"Orb","Maxinkuckee Miss","","","","Broodmare Prospect","Jay Goodwin, Agent for Ken Clark",8000
2,0606,"Trackside Farm (Tom Evans), Agent V","","Cynical Point","02/16/2019","DB/BR",Colt,"Point of Entry","Cynical Storm","","","","Yearling","*RNA (22,000)",---
2,0607,"Paramount Sales, Agent LI","","Dark Artist","01/31/2015","B",Mare,"Paynter","Ominous Cat","","","","Broodmare Prospect","*RNA (70,000)",---
2,0608,"Brookdale Sales, Agent","","Creative Cause --- Darling Sky","04/04/2019","DB/BR",Colt,"Creative Cause","Darling Sky","","","","Yearling","Wark Bloodstock",15000.00
2,0609,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds","","Michigan Avenue","03/03/2019","DB/BR",Colt,"Quality Road","Deep Feeling","","","","Yearling","First Finds",90000
2,0610,"James M. Herbener Jr., Agent V","","Deep Trouble","04/26/2014","DB/BR",Mare,"Into Mischief","Submerge","Constitution","05/08/2019","pregnant","Broodmare","McMahon & Hill Bloodstock, Agent",90000
2,0611,"Paramount Sales, Agent XXVII","","Declaration of War --- Deliver Me","04/10/2019","B",Colt,"Declaration of War","Deliver Me","","","","Yearling","*RNA (27,000)",---
2,0612,"Paramount Sales, Agent II","","Malibu Moon --- Delphinia","03/10/2019","GR/RO",Colt,"Malibu Moon","Delphinia","","","","Yearling","PM Equine Investments, LLC",50000
2,0613,"Small Batch Sales, Agent III","","Demigoddess","03/01/2014","GR/RO",Mare,"First Dude","La Chica Sensual","Runhappy","04/09/2019","pregnant","Broodmare","Out",0
2,0614,"Paramount Sales, Agent XX","","American Freedom --- Deputy Saint","05/06/2019","DB/BR",Colt,"American Freedom","Deputy Saint","","","","Yearling","Tom Fish",40000
2,0615,"Burleson Farms, Agent","","Desnuda","04/26/2001","CH",Mare,"Unbridled's Song","Proper Form","Commissioner","05/13/2019","pregnant","Broodmare","Out",0
2,0616,"Hidden Brook, Agent IV","","Diamond Hill","02/09/2017","DB/BR",Filly,"Artie Schiller","Colina Verde (BRZ)","","","","Racing or Broodmare Prospect","Out",0
2,0617,"James M. Herbener Jr., Agent II","","American Freedom --- Disclosed Desire","02/02/2019","DB/BR",Colt,"American Freedom","Disclosed Desire","","","","Yearling","Out",0
2,0618,"Paramount Sales, Agent XVI","","Midnight Lute --- Discreetly Elusive","02/22/2019","B",Colt,"Midnight Lute","Discreetly Elusive","","","","Yearling","Out",0
2,0619,"Stuart Morris, Agent I","","Palace Malice --- Discreet Star","02/10/2019","B",Filly,"Palace Malice","Discreet Star","","","","Yearling","Harris Training Center, LLC / Voric Stables",62000
2,0620,"Gainesway, Agent XII","","Divine Rule","02/20/2011","B",Mare,"Empire Maker","Flying Passage","Blame","05/17/2019","pregnant","Broodmare","Five Rings Racing LLC",25000
2,0621,"Brookdale Sales, Agent","","Dorothy's Spirit","04/29/2009","DB/BR",Mare,"Scat Daddy","Im Out First","Violence","06/23/2019","pregnant","Broodmare","Lambholm",22000
2,0622,"Brookdale Sales, Agent","","Classic Empire --- Dorothy's Spirit","05/14/2019","B",Filly,"Classic Empire","Dorothy's Spirit","","","","Yearling","Nadezhda Camperlengo",12000
2,0623,"Royal Oak Farm (Damian & Braxton Lynch), Agent","","Mastery --- Dowry","03/03/2019","DB/BR",Filly,"Mastery","Dowry","","","","Yearling","Andre Lynch, Agent",365000
2,0624,"Havens Bloodstock Agency, Inc., Agent","","Dreaming of Candy","02/25/2014","B",Mare,"Candy Ride (ARG)","Tres Dream","Super Saver","02/27/2019","pregnant","Broodmare","Spring Farm",27000
2,0625,"Havens Bloodstock Agency, Inc., Agent","","First Samurai --- Dreaming of Candy","01/23/2019","CH",Filly,"First Samurai","Dreaming of Candy","","","","Yearling","*RNA (27,000)",---
2,0626,"Hidden Brook, Agent XI","","Drift Away","04/17/2015","B",Mare,"Congrats","Retroesque","","","","Racing or Broodmare Prospect","Out",0
2,0627,"Paramount Sales, Agent XLI","","Shackleford --- East Side Charley","04/08/2019","CH",Filly,"Shackleford","East Side Charley","","","","Yearling","Halvorson Bloodstock",10000
2,0628,"Warrendale Sales, Agent XIX","","Echo Chamber","04/09/2013","B",Mare,"Majesticperfection","Echo Echo Echo","Cairo Prince","05/05/2019","pregnant","Broodmare","*RNA (32,000)",---
2,0629,"Warrendale Sales, Agent XIX","","Dialed In --- Echo Chamber","04/11/2019","DB/BR",Filly,"Dialed In","Echo Chamber","","","","Yearling","Rascal Bloodstock",40000
2,0630,"Paramount Sales, Agent XXVI","","Unified --- Echo Dust","05/05/2019","B",Colt,"Unified","Echo Dust","","","","Yearling","Out",0
2,0631,"Indian Creek, Agent","","Echo Storm","03/09/2010","CH",Mare,"Thunder Gulch","Echo Harbor","Not This Time","03/26/2019","pregnant","Broodmare","Out",0
2,0632,"James M. Herbener Jr., Agent I","","Edith Court","03/11/2014","GR/RO",Mare,"Pomeroy","Receivership","City of Light","05/02/2019","pregnant","Broodmare","*RNA (200,000)",---
2,0633,"James M. Herbener Jr., Agent I","","Empire Maker --- Edith Court","01/20/2019","DB/BR",Filly,"Empire Maker","Edith Court","","","","Yearling","Scott & Evan Dilworth LLC",200000
2,0634,"James B. Keogh (Grovendale), Agent","","Ellie's Smile","04/11/2017","B",Filly,"Tapit","Majestically","","","","Broodmare Prospect","*RNA (70,000)",---
2,0635,"Sequel New York, Agent","","Cupid --- Elrose","05/11/2019","GR/RO",Colt,"Cupid","Elrose","","","","Yearling","C. Clement, Agent",75000
2,0636,"Hidden Brook, Agent III","","Dialed In --- Elusive Holiday","03/14/2019","CH",Colt,"Dialed In","Elusive Holiday","","","","Yearling","Jason Hall, Agent",20000
2,0637,"Four Star Sales, Agent for the Estate of William D. Graham","(Windhaven Farms)","England Swings","05/08/2009","B",Mare,"Kitten's Joy","Spent Gold","Lemon Drop Kid","04/08/2019","pregnant","Broodmare","Rockbridge Bldstk, Agt for On Your Left Racing LLC",47000
2,0638,"James B. Keogh (Grovendale), Agent IX","","Speightster --- Epic Lady","02/02/2019","B",Colt,"Speightster","Epic Lady","","","","Yearling","Summer Wind Farm",1200
2,0639,"Paramount Sales, Agent XIV","","Etching","04/30/2015","B",Mare,"Paynter","Summerly","","","","Broodmare Prospect","Out",0
2,0640,"Blandford Stud (Padraig Campion), Agent","","Everqueen","05/02/2013","B",Mare,"Colonel John","Text Queen","Oscar Performance","04/04/2019","pregnant","Broodmare","*RNA (70,000)",---
2,0641,"Blandford Stud (Padraig Campion), Agent","","Street Sense --- Everqueen","02/10/2019","B",Colt,"Street Sense","Everqueen","","","","Yearling","Scott & Evan Dilworth LLC",100000
2,0642,"Eaton Sales, Agent","","Excuses Begone","02/14/2016","B",Filly,"Medaglia d'Oro","Stopshoppingdebbie","","","","Racing or Broodmare Prospect","D.J. Stable",35000
2,0643,"Indian Creek, Agent","","Mastery --- Exogenetic","03/08/2019","B",Colt,"Mastery","Exogenetic","","","","Yearling","Clarmont Bloodstock Club",150000
2,0644,"Brookdale Sales, Agent","","Explainable","04/29/2009","DB/BR",Mare,"Dynaformer","Bank Audit","Honor Code","04/27/2019","pregnant","Broodmare","*RNA (42,000)",---
2,0645,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds","","Recharge","04/19/2019","CH",Filly,"Will Take Charge","Famous","","","","Yearling","Dreamfields Inc.",10000
2,0646,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent","","Farcical Feline","03/22/2014","B",Mare,"Kitten's Joy","April Fooler","Accelerate","05/23/2019","not pregnant","Broodmare","Out",0
2,0647,"Claiborne Farm, Agent","","Fashion Brand","03/29/2015","DB/BR",Mare,"Medaglia d'Oro","Theyskens' Theory","Blame","03/01/2019","pregnant","Broodmare","*RNA (140,000)",---
2,0648,"Bluegrass Thoroughbred Services Inc., Agent I","","Fashion Fact","02/06/2017","B",Filly,"The Factor","Fashion Tap","","","","Racing or Broodmare Prospect","Out",0
2,0649,"Bluegrass Thoroughbred Services Inc., Agent VI","","Fashion's Crossing","03/16/2014","B",Mare,"English Channel","Indy Business","Karakontie (JPN)","04/24/2019","pregnant","Broodmare","Out",0
2,0650,"Bluegrass Thoroughbred Services Inc., Agent VI","","Creative Cause --- Fashion's Crossing","04/03/2019","DB/BR",Filly,"Creative Cause","Fashion's Crossing","","","","Yearling","*RNA (27,000)",---
2,0651,"Lane's End, Agent","","Favorite Candy","03/10/2014","B",Mare,"Candy Ride (ARG)","Favoritism","City of Light","03/06/2019","pregnant","Broodmare","Grantley Acres / Ballysax, Agent",100000
2,0652,"Brookdale Sales, Agent","","Malibu Moon --- Featherbed","04/02/2019","B",Filly,"Malibu Moon","Featherbed","","","","Yearling","*RNA (95,000)",---
2,0653,"Brookdale Sales, Agent","","Feet Fail Me Not","03/09/2017","CH",Filly,"Candy Ride (ARG)","Devil's Cave","","","","Racing or Broodmare Prospect","Nick Nosowenko",5000
2,0654,"Warrendale Sales, Agent XV","","Flashy Ride","02/20/2011","B",Mare,"Candy Ride (ARG)","Flashy Four","Not This Time","03/25/2019","pregnant","Broodmare","Out",0
2,0655,"Paramount Sales, Agent V","","Flattering (IRE)","03/02/2015","B",Mare,"Galileo (IRE)","Pikaboo (GB)","Justify","03/06/2019","pregnant","Broodmare","Out",0
2,0656,"Warrendale Sales, Agent XII","","Unified --- Flatter Me First","05/24/2019","DB/BR",Colt,"Unified","Flatter Me First","","","","Yearling","Out",0
2,0657,"Eaton Sales, Agent","","Fly Me to Dubai","04/29/2012","B",Mare,"Into Mischief","Inspired Hope","Liam's Map","05/11/2019","pregnant","Broodmare","*RNA (70,000)",---
2,0658,"Warrendale Sales, Agent XI","","Majesticperfection --- Found a Diamond","01/26/2019","DB/BR",Filly,"Majesticperfection","Found a Diamond","","","","Yearling","*RNA (19,000)",---
2,0659,"Small Batch Sales, Agent I","","Free Cover","04/27/2016","GR/RO",Filly,"Congrats","Candybedandy","","","","Racing or Broodmare Prospect","Out",0
2,0660,"Burleson Farms, Agent","","Frisk Her","04/27/2004","B",Mare,"Officer","Divine Honor","Kantharos","06/04/2019","pregnant","Broodmare","A. Cary, Agent for Coteau Grove Farms",22000
2,0661,"Four Star Sales, Agent","","Front in Line","04/19/2012","B",Mare,"War Front","Private Line","Gun Runner","04/28/2019","pregnant","Broodmare","Robert S. West, Jr.",170000
2,0662,"Stuart Morris, Agent X","","Empire Maker --- Fugacious Dancer","04/20/2019","B",Filly,"Empire Maker","Fugacious Dancer","","","","Yearling","Out",0
2,0663,"Paramount Sales, Agent II","","Gadir","02/13/2016","B",Mare,"Super Saver","Cowgirl Mally","Malibu Moon","04/12/2019","pregnant","Broodmare","Out",0
2,0664,"Lane's End, Agent","","Game Fair","03/26/2009","DB/BR",Mare,"Quiet American","Passing Shot","Kitten's Joy","04/28/2019","pregnant","Broodmare","Out",0
2,0665,"Paramount Sales, Agent XLVIII","","Gemsaresparkling","04/30/2014","B",Mare,"Gemologist","Dreamscape","Dialed In","05/28/2019","pregnant","Broodmare","*RNA (22,000)",---
2,0666,"Lane's End, Agent","","Gifted Lady","01/30/2014","CH",Mare,"Distorted Humor","Forbidden Gift","Tapit","06/17/2019","pregnant","Broodmare","Hill 'n' Dale at Xalapa",175000
2,0667,"Lane's End, Agent","","Gift of Glory","04/11/2015","B",Mare,"Lookin At Lucky","Glencoe Church","City of Light","05/16/2019","pregnant","Broodmare","Fairview LLC",200000
2,0668,"Four Star Sales, Agent","","Girl At War (IRE)","02/06/2016","RO",Filly,"Declaration of War","Gulsary (IRE)","","","","Broodmare Prospect","Christine Firmin Didot",10000.00
2,0669,"Warrendale Sales, Agent II","","Klimt --- Good Grammar","02/20/2019","DB/BR",Filly,"Klimt","Good Grammar","","","","Yearling","Romar, LLC",15000
2,0670,"Bluegrass Thoroughbred Services Inc., Agent IV","","Unified --- Goomada Byda Sea","04/13/2019","DB/BR",Colt,"Unified","Goomada Byda Sea","","","","Yearling","Briston Bloodstock",50000
2,0671,"Mulholland Springs, Agent XI","","Grace's Treasure","02/15/2013","GR/RO",Mare,"Rockport Harbor","Sher Win Forest","Bolt d'Oro","05/03/2019","pregnant","Broodmare","Joseph DiRico",100000
2,0672,"Mulholland Springs, Agent XVII","","Lord Nelson --- Grande Melody (IRE)","03/30/2019","B",Colt,"Lord Nelson","Grande Melody (IRE)","","","","Yearling","Out",0
2,0673,"Four Star Sales, Agent","","Green Freedom","03/16/2014","B",Mare,"Not Bourbon","Chasm","Jimmy Creed","02/12/2019","pregnant","Broodmare","Out",0
2,0674,"Summerfield (Francis and Barbara Vanlangendonck), Agent for","Parrish Hill Farm","Gypsy Sage","04/10/2005","CH",Mare,"Hennessy","Viburnum","Air Force Blue","05/01/2019","pregnant","Broodmare","Hunter Valley Farm",30000
2,0675,"Summerfield (Francis and Barbara Vanlangendonck), Agent for","Parrish Hill Farm","Vancouver (AUS) --- Gypsy Sage","03/09/2019","B",Filly,"Vancouver (AUS)","Gypsy Sage","","","","Yearling","Fergus Galvin, Agent for Marc Detampel",27000
2,0676,"Glen Hill Farm","","Hassler (IRE)","04/23/2015","B",Mare,"War Front","Turbulent Descent","Violence","03/24/2019","pregnant","Broodmare","*RNA (95,000)",---
2,0677,"Glen Hill Farm","","Camaraderie","02/01/2019","GR/RO",Filly,"Frosted","Hassler (IRE)","","","","Yearling","West Bloodstock, Agent",130000
2,0678,"Hidden Brook, Agent IX","","Havana Miss","05/15/2013","B",Mare,"Zanjero","Missy Turtle","Competitive Edge","04/21/2019","pregnant","Broodmare","Cynthia Cauffman",10000
2,0679,"Brookdale Sales, Agent for Karmac Stables LLC","","Hay Dilly","05/18/2016","DB/BR",Filly,"Candy Ride (ARG)","Appenzell","","","","Broodmare Prospect","Shamrock Farm",105000
2,0680,"Paramount Sales, Agent XXX","","Heavenly Sky","04/27/2011","GR/RO",Mare,"Sky Mesa","Four Gifts","Exaggerator","03/08/2019","pregnant","Broodmare","Pete Hanson",15000
2,0681,"Four Star Sales, Agent for the Estate of William D. Graham","(Windhaven Farms)","Mineshaft --- Henry's Island","02/26/2019","CH",Colt,"Mineshaft","Henry's Island","","","","Yearling","Arch Bloodstock, LLC, Agent",35000
2,0682,"Lane's End, Agent","","Her Latest Film","03/16/2015","B",Mare,"War Front","Film Maker","Accelerate","06/12/2019","pregnant","Broodmare","Caldara Farm, Agent",40000
2,0683,"Four Star Sales, Agent","","Empire Maker --- Her Sweet Saint","03/13/2019","GR/RO",Colt,"Empire Maker","Her Sweet Saint","","","","Yearling","*RNA (24,000)",---
2,0684,"Brookdale Sales, Agent","","Highestmaintenance","02/04/2010","DB/BR",Mare,"Macho Uno","Half Heaven","Speightster","05/08/2019","pregnant","Broodmare","Booth Bloodstock",50000
2,0685,"Brookdale Sales, Agent","","Outwork --- Highestmaintenance","04/10/2019","B",Filly,"Outwork","Highestmaintenance","","","","Yearling","South Paw",65000
2,0686,"James B. Keogh (Grovendale), Agent XXXV","","Frosted --- High Style","04/15/2019","GR/RO",Filly,"Frosted","High Style","","","","Yearling","Tracy Farmer",250000
2,0687,"James M. Herbener Jr., Agent V","","History Supreme","04/12/2015","B",Mare,"Speightstown","Bahama Bound","Accelerate","03/16/2019","pregnant","Broodmare","*RNA (95,000)",---
2,0688,"Paramount Sales, Agent XXII","","Holy Alliance","04/21/2016","B",Mare,"Scat Daddy","Nesselrode","Mo Town","03/04/2019","pregnant","Broodmare","Genet Racing LLC",40000
2,0689,"Summerfield (Francis and Barbara Vanlangendonck),","Agent XXVIII","Gun Runner --- Homesteader","03/02/2019","CH",Colt,"Gun Runner","Homesteader","","","","Yearling","Out",0
2,0690,"Hidden Brook, Agent VIII","","Honey Parade","05/05/2016","B",Filly,"First Defence","La Bresilienne","","","","Racing or Broodmare Prospect","Out",0
2,0691,"Bluegrass Thoroughbred Services Inc., Agent I","","Hunting Season","04/02/2016","DB/BR",Filly,"Pioneerof the Nile","Flying Spur","","","","Racing or Broodmare Prospect","Out",0
2,0692,"James B. Keogh (Grovendale), Agent VIII","","Hurricane Bernie","02/18/2005","B",Mare,"Sea of Secrets","Deceptive","Mizzen Mast","05/13/2019","pregnant","Broodmare","*RNA (4,000)",---
2,0693,"Paramount Sales, Agent XIII","","Cupid --- Image of Anna","04/15/2019","GR/RO",Colt,"Cupid","Image of Anna","","","","Yearling","Out",0
2,0694,"Eaton Sales, Agent for the Estate of William D. Graham","(Windhaven Farms)","Tiznow --- I'm Breathtaking","02/26/2019","B",Colt,"Tiznow","I'm Breathtaking","","","","Yearling","Boswell Farm",9000
2,0695,"Brookdale Sales, Agent","","More Than Ready --- Imperial Pippin","05/14/2019","DB/BR",Colt,"More Than Ready","Imperial Pippin","","","","Yearling","Patillo Equine",50000
2,0696,"Mill Ridge Sales, Agent for Juddmonte Farms, Inc.","","Malibu Moon --- Imperial Pippin","03/01/2018","B",Filly,"Malibu Moon","Imperial Pippin","","","","Racing or Broodmare Prospect","Wolf Creek Farm",27000
2,0697,"Lane's End, Agent","","Indescribable","02/17/2004","CH",Mare,"Pleasant Tap","Catnip","Distorted Humor","03/15/2019","pregnant","Broodmare","*RNA (47,000)",---
2,0698,"Eaton Sales, Agent","","India Mantuana","04/12/2014","DB/BR",Mare,"Wilburn","Speed Wagon","Accelerate","04/09/2019","pregnant","Broodmare","Shadai Farm",100000
